"","Quadrat","Treatment","Canopy","Veg","dis_0","dis_1","dis_2","bl","blr","rhw","rml","rew","bll"
"1","1","Light","1","0",0.818181818181818,0,0.181818181818182,15.9181818181818,1.5046044518329,0.145645487646008,0.107500994454263,0.0488699433504071,0.561181818181818
"2","2","Control","0","0",0.909090909090909,0,0.0909090909090909,15.7181818181818,1.42501638480073,0.14251871957228,0.104773068491653,0.0480731282692748,0.536909090909091
"3","3","Veg","0","1",0.588235294117647,0,0.411764705882353,13.4,1.31313884201512,0.145063680893289,0.106001231565882,0.0532374673327941,0.542625
"4","4","Control","0","0",0.727272727272727,0,0.272727272727273,15.3,1.42870669361575,0.145239546212397,0.108152549991944,0.0493033825661329,0.565090909090909
"5","5","Veg","0","1",0.727272727272727,0.0909090909090909,0.181818181818182,14.8909090909091,1.35617958326799,0.149728542144028,0.107445011839246,0.0525801091572502,0.5344
"6","6","Light","1","0",0.75,0.125,0.125,14.2375,1.37694023269198,0.147096238737112,0.103697198759263,0.0454118442169514,0.534125
"7","7","Light+Veg","1","1",0.666666666666667,0,0.333333333333333,14.3066666666667,1.40355411396497,0.139980741628633,0.102624282766311,0.0515030343704557,0.539428571428571
"8","8","Light+Veg","1","1",0.736842105263158,0,0.263157894736842,14.3105263157895,1.52343942230259,0.141120010636466,0.105053219794268,0.050914829679217,0.531210526315789
"9","9","Veg","0","1",1,0,0,16.05,1.2951698349655,0.148130701690797,0.108065861076211,0.0478308498940152,0.56375
"10","10","Light+Veg","1","1",0.833333333333333,0,0.166666666666667,15.4833333333333,1.41751011489307,0.151125885048662,0.11702450542341,0.0463887432174283,0.557
"11","11","Control","0","0",0.8,0,0.2,14.62,1.09358367178652,0.164286909302001,0.108069001041348,0.0606303372628606,0.5724
"12","12","Light+Veg","1","1",1,0,0,16.8230769230769,1.47372721202101,0.151053746712138,0.111641725421264,0.0459006702464041,0.551538461538462
"13","13","Veg","0","1",0.909090909090909,0,0.0909090909090909,15.8181818181818,1.47561039583691,0.140924849083512,0.102304307943733,0.0471260327622396,0.539636363636364
"14","14","Light","1","0",0.857142857142857,0,0.142857142857143,15.8857142857143,1.53406515703024,0.147191130739119,0.111364940799091,0.0475469349573532,0.546142857142857
"15","15","Light","1","0",0.764705882352941,0.0588235294117647,0.176470588235294,14.9764705882353,1.42115556420831,0.155529422622874,0.113592368032461,0.0475978071473949,0.535705882352941
"16","16","Veg","0","1",0.75,0,0.25,14.825,1.40454554336432,0.155092808504221,0.112392901981341,0.0559293825359761,0.546
"17","17","Light","1","0",0.636363636363636,0.0909090909090909,0.272727272727273,14.3818181818182,1.3901989073229,0.142420974542216,0.103769753079593,0.0490205708979519,0.529818181818182
"18","18","Veg","0","1",0.625,0,0.375,12.95,1.37309377535864,0.143559975253631,0.0989713323589033,0.048612736953096,0.503375
"19","19","Control","0","0",0.714285714285714,0,0.285714285714286,14.6,1.30601691475247,0.138817972842664,0.101150496161225,0.0461770491267589,0.508285714285714
"20","20","Light","1","0",0.583333333333333,0.0833333333333333,0.333333333333333,13.2916666666667,1.33144191578455,0.141271762167307,0.103619737832959,0.0485291280371482,0.505454545454545
"21","25","Control","0","0",0.833333333333333,0,0.166666666666667,15.975,1.4005898749258,0.143321922281377,0.108192611182621,0.0468639165350232,0.54475
"22","26","Light+Veg","1","1",0.888888888888889,0,0.111111111111111,16.4555555555556,1.46386326627601,0.150622539099285,0.112752616597578,0.0485710663690164,0.569333333333333
"23","27","Control","0","0",0.727272727272727,0,0.272727272727273,14.4090909090909,1.37130108194259,0.142394346767793,0.102783786004329,0.0475502021245609,0.544727272727273
"24","28","Light+Veg","1","1",1,0,0,15.9777777777778,1.48847907404792,0.141576679849997,0.105117128267825,0.0454849637656876,0.553
